"cod_est","descripcion"
"01012305","BANANAS"
"01012310","PLATANOS DE CANARIAS"
"01012505","MANZANAS ACIDAS"
"01012510","MANZANAS SEMIACIDAS"
"01012515","MANZANAS DULCES OTRAS"
"01012530","MANZANAS DULCES GOLDEN"
"01012705","PERAS DE INVIERNO"
"01012710","PERAS DE VERANO"
"01012715","PERAS CONFERENCIA"
"01012905","KIWIS VERDES"
"01012910","KIWIS AMARILLOS"
"01013105","UVAS CON SEMILLA"
"01013110","UVAS SIN SEMILLA"
"01013305","NARANJAS ZUMO"
"01013310","NARANJAS POSTRE"
"01013315","MANDARINAS POSTRE"
"01013325","LIMONES"
"01013330","POMELOS"
"01013505","FRESAS"
"01013510","ARANDANOS"
"01013515","FRAMBUESAS"
"01013520","OTROS FRUTOS ROJOS"
"01013905","MELOCOTONES ROJOS"
"01013910","MELOCOTONES AMARILLOS"
"01014105","NECTARINA"
"01014305","PARAGUAYOS"
"01014705","CIRUELAS VERDES"
"01014710","CIRUELAS ROJAS"
"01014715","CIRUELAS NEGRAS"
"01014720","CIRUELAS AMARILLAS"
"01014905","MELONES PIEL DE SAPO"
"01014910","OTROS MELONES"
"01015105","SANDIAS RAYADAS"
"01015110","SANDIAS NEGRAS"
"01015115","OTRAS SANDIAS"
"01015305","HIGOS NEGROS"
"01015310","HIGOS VERDES"
"01015705","GRANADAS"
"01015905","KAKI"
"01016105","CASTAÑAS"
"01016505","AGUACATES"
"01016705","PIÑAS"
"01016710","MANGOS"
"01016715","PAPAYAS"
"01016720","LIMAS"
"01016725","PLATANOS PARA COCINAR"
"01016730","OTROS TROPICALES"
"01017105","FRUTAS ECO"
"01026005","CHAMPIÑONES"
"01026010","SETAS"
"01026205","PIMIENTOS VERDES"
"01026210","PIMIENTOS ROJOS"
"01026215","PIMIENTOS ESPECIALIDADES"
"01026220","GUINDILLAS"
"01026405","CALABAZAS"
"01026410","CALABACINES"
"01026415","BERENJENAS"
"01026605","JUDIAS PLANAS"
"01026610","JUDIAS REDONDAS"
"01026805","REPOLLOS"
"01026810","BROCOLIS"
"01026815","COLIFLORES"
"01026820","OTROS REPOLLOS"
"01027005","ALCACHOFAS"
"01027010","ESPARRAGOS"
"01027015","BORRAJAS/CARDOS"
"01027020","OTRAS HORTALIZAS ESTACIONALES"
"01027205","PUERROS"
"01027405","ZANAHORIAS"
"01027605","ACELGAS"
"01027610","ESPINACAS"
"01027805","LECHUGAS"
"01027810","ESCAROLAS"
"01027815","ENDIBIAS"
"01027820","APIOS"
"01027825","CEBOLLETAS"
"01027830","CEBOLLAS DULCES"
"01027835","PEPINOS"
"01027840","OTROS ENSALADA"
"01028005","TOMATES ENSALADA"
"01028010","TOMATES CHERRIES"
"01028015","TOMATES NEGROS"
"01028020","TOMATES COCINAR"
"01028025","TOMATES RAMA"
"01028030","TOMATES PERA"
"01028205","MIX HORTALIZA"
"01028305","HORTALIZAS ECO"
"01085005","ENSALADAS MONOPRODUCTO"
"01085010","ENSALADAS MEZCLA"
"01085020","TOPPINGS ENSALADA"
"01085105","ENSALADAS GOURMET"
"01085110","ENSALADAS FUNCIONALES"
"01085115","ENSALADAS PREMIUM"
"01085120","COMPLEMENTOS DE ENSALADA"
"01085205","ENSALADAS CESAR"
"01085210","RESTO DE ENSALADAS COMPLETAS"
"01085305","PIMIENTOS COCINADOS"
"01085310","PATATAS COCINADAS"
"01085315","OTRAS VERDURAS COCINADAS"
"01085405","PLATOS COMPLETOS"
"01085410","SOPAS Y CREMAS"
"01085420","VERDURA Y HORTALIZA CRUDA"
"01085505","FRUTA LIMPIA Y PARTIDA"
"01085510","COMPOTAS Y SMOTHIES"
"01085515","ZUMOS FRESCOS"
"01085605","UNTABLES Y DIPPINGS"
"01085610","SALSAS"
"01085615","HIERBAS AROMATICAS"
"01085620","HIERBAS AROMATICAS PLANTA"
"01085625","HIERBAS AROMATICAS PLANTA BIO"
"01085630","DESHIDRATADOS"
"01200505","AJOS BLANCOS"
"01200510","AJOS MORADOS"
"01201005","CEBOLLAS AMARILLAS"
"01201010","CEBOLLAS MORADAS"
"01201015","OTRAS CEBOLLAS"
"01201505","PATATAS TODO USO"
"01201510","PATATAS FREIR"
"01201515","PATATAS GUISAR"
"01201520","PATATAS ESPECIALIDADES"
"01201525","OTROS TUBERCULOS"
"01202005","COMPLEMENTOS BASICOS ECO"
"01250505","ALUBIAS"
"01250510","GARBANZOS"
"01250515","LENTEJAS"
"01250520","OTRAS LEGUMBRES"
"01251005","CACAHUETES"
"01251010","NUECES"
"01251015","PISTACHOS"
"01251020","ALMENDRAS"
"01251025","OTROS FRUTOS SECOS"
"01251030","MEZCLAS FRUTOS SECOS"
"01251505","CIRUELAS"
"01251510","PASAS"
"01251515","HIGOS"
"01251520","DATILES"
"01251525","OTROS DESHIDRATADOS"
"01251530","ARANDANOS DESHIDRATADOS"
"01252505","ESPECIAS GRANEL"
"02610101","TERNERA FILETE ENVASADO"
"02610102","TERNERA LOMO ENVASADO"
"02610103","TERNERA GUISAR ENVASADO"
"02610301","AÑOJO FILETE ENVASADO"
"02610302","AÑOJO LOMO ENVASADO"
"02610303","AÑOJO GUISAR ENVASADO"
"02610501","MAYOR FILETE ENVASADO"
"02610502","MAYOR LOMO ENVASADO"
"02610503","MAYOR GUISAR ENVASADO"
"02610601","VACUNO DESPOJOS ENVASADO"
"02620101","LOMO BLANCO ENVASADO"
"02620102","CHULETA  BLANCO ENVASADO"
"02620103","SOLOMILLO BLANCO ENVASADO"
"02620104","COSTILLA BLANCO ENVASADO"
"02620105","JAMO/ESCA/ROTI BLANCO ENVASADO"
"02620106","ESTOFADO BLANCO ENVASADO"
"02620107","BEICON/PANCETA BLANCO ENVASADO"
"02620109","SECRETO/PRESA BLANCO ENVASADO"
"02620111","DESPOJO BLANCO ENVASADO"
"02620115","LOMO ADOBADO ENVASADO"
"02620120","COSTILLA ADOBADA OTRO ENVASADO"
"02620301","LOMO IBERICO ENVASADO"
"02620303","OTROS IBERICO ENVASADO"
"02620401","PORCINO COCHINILLO ENVASADO"
"02630101","CORD RECENT 1/4-1/2 ENVASADO"
"02630102","CORD RECENT CHULET ENVASADO"
"02630103","CORD RECENT ESPECIALD ENVASADO"
"02630104","CORD RECENT REST DESP ENVASADO"
"02630301","CORDERO LECH 1/4-1/2 ENVASADO"
"02630302","CORDERO LECHAL DESP ENVASADO"
"02630501","CORDERO DESPOJO ENVASADO"
"02650101","PICADA DE VACUNO ENVASADO"
"02650102","PICADA DE CERDO ENVASADO"
"02650103","PICADA DE AVE ENVASADO"
"02650104","PICADA MIXTA ENVASADO"
"02650203","BROCHETAS-PINCHITOS ENVASADO"
"02650204","MIXTOS Y OTROS ENVASADO"
"02650301","SALCHICHA DE CERDO ENVASADO"
"02650302","SALCHICHA DE AVE ENVASADO"
"02650305","SALCHICHA OTROS ENVASADO"
"02650401","MORCILLA DE BURGOS ENVASADO"
"02650402","OTRAS MORCILLAS ENVASADO"
"02650501","CHORIZO FRESCO ENVASADO"
"02650502","CHISTORRA ENVASADO"
"02650601","CROQUETAS ENVASADO"
"02650602","EMPANADOS Y REBOZADOS ENVASADO"
"02650603","OTROS FRITOS ENVASADO"
"02650701","CALLOS ENVASADO"
"02650702","OTROS CASQUERIA ELABORADA ENV"
"02650801","SALADOS ENVASADO"
"02650805","PREPARADOS DE COCIDO-CALDO ENV"
"02651001","RELLENOS Y ROTIS ENVASADO"
"02651101","VARIOS ENVASADO"
"02651401","HAMBURGUESA DE VACUNO ENVASADO"
"02651403","HAMBURGUESA DE CERDO ENVASADO"
"02651405","HAMBURGUESA DE AVE ENVASADO"
"02651407","HAMBURGUESA MIXTA ENVASADO"
"02652005","FIAMBRES DE CERDO ENVASADO"
"02652010","FIAMBRES DE AVE ENVASADO"
"02652201","ELABORADOS PROTEINA VEGETAL"
"02660101","CONEJO ENVASADO ENTERO"
"02660201","CONEJO ENVASADO TROCEADO"
"02660301","CONEJO ENVASADO DESPIECE"
"02690505","POLLO STD POLLO ENTERO"
"02690510","POLLO STD PECHUGA ENTERA POLLO"
"02690515","POLLO STD PECHUGA FILETE POLLO"
"02690520","POLLO STD ASAR ALAS POLLO"
"02690525","POLLO STD ASAR TRASEROS POLLO"
"02690530","POLLO STD TROCEADOS DE POLLO"
"02691005","POLLO CL POLLO ENTERO"
"02691010","POLLO CL PECHUGA ENTERA POLLO"
"02691015","POLLO CL PECHUGA FILETE POLLO"
"02691020","POLLO CL ASAR ALAS POLLO"
"02691025","POLLO CL ASAR TRASEROS POLLO"
"02691030","POLLO CL TROCEADOS DE POLLO"
"02691505","POLLO CARCASAS Y GALLINA CALDO"
"02691510","POLLO SUBPRODUCTOS"
"02692005","POLLO MARINADO PLANCHA-OTROS"
"02720505","PAVO FRESCO"
"02720510","PAVO FRESCO ALAS / JAMONCITOS"
"02720515","PAVO FRESCO ESTOFADO Y OTROS"
"02720520","PAVO MARINADO"
"02721005","PATO MAGRET"
"02721010","PATO HIGADO"
"02721015","PATO CONFIT MUSLO Y OTROS"
"02721505","CODORNICES Y PERDICES"
"02721510","PICANTONES Y COQUELET"
"02721515","AVES ESPECIALES"
