"","id","total_productos","productos_distintos","dias_activos","media_compras_por_semana","compras_entre_semana","compras_fin_de_semana","Cluster"
"1","0000595d5253705a2bf0c6f05ccbb800",101,63,2,20.2,72,29,"3"
"2","000420e88d1d6032d2a9957576177fee",29,29,3,29,28,29,"2"
"3","0004d0d0b37a6bb1624bfa3981eb159f",55,55,2,55,1,55,"2"
"4","00052a14ecfb90983c12b02ea4e82d33",14,14,2,14,14,12,"2"
"5","00054553b480893c05f2e044625074ae",18,18,2,18,18,11,"2"
"6","0006ef2f1c591a406fe01da160466230",70,42,3,35,46,24,"2"
"7","0007144f84dec495b2efa9c44fffaae2",11,10,2,10,2,6,"2"
"8","000be44cf2378041e456e9ef21076f32",23,23,2,23,23,22,"2"
"9","000c6c7893fe5d999f9bf2a33094e73e",20,20,2,20,20,11,"2"
"10","000c75b30bb0b237ec817d203e88a54f",44,38,2,22,44,13,"2"
"11","00143712a013f73eef3a8ec1e52b9ef5",26,24,3,8.66666666666667,8,18,"2"
"12","00156627eb7170d39cd164aac57dc5fb",236,117,3,39.3333333333333,236,28,"1"
"13","0018ed38657fd19d98728f532388f2b7",249,131,2,25,190,59,"1"
"14","00196f62ac27cc336d2dfa40d73d17e2",172,120,3,57.3333333333333,120,52,"3"
"15","001ee0217c89aff2b727d7faa2447679",27,27,2,27,27,16,"2"
"16","001f016e041f01d40fc8fea87466648e",21,16,3,10.5,9,21,"2"
"17","00212c01b2ec3458680a0edd870d9685",304,122,3,39,253,42,"1"
"18","002227ce7dd91136617b2675cd2fa8ab",166,108,3,20.75,72,63,"3"
"19","002867cbb9f0de2b4678b73bc8d8b3d9",59,51,2,29.5,45,14,"2"
"20","0029751b7fcfb4dd553d7155370c0198",28,14,3,9,13,15,"2"
"21","002a19892cb891665ec0b77d3730f237",11,10,2,10,4,6,"2"
"22","002b38d6c352e7cbeb439b4e85fb349d",26,26,2,26,26,16,"2"
"23","002b87a72cb020a5d6f5c2008f8b7d36",249,76,2,8,8,76,"3"
"24","002c67b522d2ebb1c89f6fcf18ae7a3f",38,38,2,38,38,37,"2"
"25","002f3f0359dbd99e883f347f1fe13e85",58,57,2,29,58,15,"2"
"26","002fcad093ac3fa5988b59e53788fd61",11,10,2,10,10,3,"2"
"27","00314f3d0a9d4f4109f66c1206c211a7",123,79,3,30.75,99,24,"3"
"28","00322c1d439808b60d1e5717956afa8e",27,27,3,27,29,27,"2"
"29","00339bd0db8a3a3070c85e793ca7dd43",41,41,3,41,34,41,"2"
"30","0033f6b64fd807c3ddde4a5b5e3b5f9b",188,109,3,47,151,37,"1"
"31","00341ca1bf2dd3066c42f50685697f31",119,81,2,39.6666666666667,73,46,"3"
"32","00348337ef9c4396c312d06f7cadfbd6",22,22,2,22,22,21,"2"
"33","0035f17abc612d48ae4d0f5c38c4ec00",157,74,3,39.25,86,71,"3"
"34","0036c5bab60f98a6b50e04e81575b9f9",19,19,2,19,19,11,"2"
"35","00374cb7f0170153c519747b4062201b",100,89,2,50,100,34,"3"
"36","003bf37f219e80db497e4d15d0e9bb7b",34,34,2,34,34,16,"2"
"37","003d3ebe117cb786a4d73fea8d17319b",148,106,2,49.3333333333333,148,45,"3"
"38","003fa3344cb647a6af3ab9c765e86ad0",118,55,3,29.5,118,16,"3"
"39","00430a0ba38f0744700f811a45957ff8",93,58,3,23.25,93,20,"3"
"40","0044a6a27228c3f3022ccda30ebad8a1",20,20,3,20,17,20,"2"
"41","0044a91daa38ca4f9677179baf1e6324",12,12,3,12,9,12,"2"
"42","0045485fae7394dbd5242684564113b2",50,28,3,10,50,9,"2"
"43","00478fca5f47d1445f01045dab55c537",57,57,2,57,57,57,"2"
