id_cliente_enc,total_productos,productos_distintos,dias_activos,compras_por_semana,compras_entre_semana,compras_fin_de_semana,grupo_preferido,Cluster
10f52d0f4815c761fed4605708bc6791,20,20,1,140,20,0,09090,1
a9fec2648af04bf065372199d25ca9d5,76,58,2,266,76,0,05040,2
a8bda299cfeb70fb6abfb742b8554685,121,41,2,423.5,25,96,05040,3
d4f56ae0a81b32a066310d4514351073,40,34,2,140,40,0,01027,1
0fb70db6c64ea008d16dde193b8c0361,7,7,1,49,7,0,05030,1
dd13f137551262ec8846044515874482,31,31,1,217,0,31,04020,1
372a1f466fe5f9c73372b931b5ab0d03,83,69,3,193.66666666666669,38,45,01013,3
b1b654b5143a5eab3ff9b1560d020ce4,515,193,4,901.25,311,204,01085,4
51127d2c736c14f667fde78e72a61e04,50,41,2,175,50,0,01027,1
56d12f4c0e03d8e4f76055e49342e4f0,113,76,3,263.6666666666667,113,0,11080,3
99bcb28ffa93f433250628d712367beb,13,13,1,91,0,13,01028,1
89321556761d6c789207c62febd56ffc,56,56,1,392,56,0,01026,2
344e324cc31cd295027b0a25e44b15b6,240,97,4,420,194,46,05040,4
ad62e5de8ba98133daad0f39168af1f4,23,23,1,161,23,0,01026,1
a483af3694f2d6f3bb39c277640b31dc,101,67,3,235.66666666666669,101,0,05040,3
2dbb6735c81537950641052c2fab01bb,94,83,1,658,94,0,12501,3
4d7ad9ae3d87035f99c3ef8ebaf08a36,37,37,1,259,37,0,11100,1
8b1a5a9592f53a45fa7a12e4a20e2ad3,75,49,3,175,58,17,03050,2
235f2284689ed84a02a25055ea166a1e,256,106,2,896,26,230,02690,4
6651104a689a3e230a4415121e39f8ae,60,60,1,420,0,60,01012,2
a6d838834b99d186e2598d8c479ea8fe,217,141,3,506.33333333333337,140,77,01013,4
a38e931efe51034835e37cac4fddf499,374,122,2,1309,286,88,05040,4
e9ddb3023ca20a1ec61485a115c2da17,57,45,2,199.5,57,0,01026,1
0044a91daa38ca4f9677179baf1e6324,12,12,1,84,0,12,10200,1
52690c461b0a83a61f9bf1358780a294,3,3,1,21,0,3,11040,1
e3ba1701bb3749601f22249184a3f6c6,72,59,2,252,72,0,02620,2
29b79442ba991f38aeb3927a9ee23a27,172,50,4,301,159,13,06100,3
f8432bdc797798bbc8069bd456fd8215,299,87,2,1046.5,299,0,03070,4
a1c1585d405760d9d9a1e416c26b6bea,74,49,3,172.66666666666669,57,17,10153,2
41845e76ac91d9a8eaf70e77df68b89f,7,7,1,49,7,0,05030,1
f2c59a96b37dc4320c54f6e1e1fcfc8e,287,156,2,1004.5,165,122,01027,4
f41f6c57f02bc3187b2a4d97aef9c9ab,9,9,1,63,9,0,03050,1
